Team Number,Match ID,Left Black Line,Auto Coral Level 1,Auto Coral Level 2,Auto Coral Level 3,Auto Coral Level 4,Auto Algae Processed,Auto Algae Netted,Teleop Coral Level 1,Teleop Coral Level 2,Teleop Coral Level 3,Teleop Coral Level 4,Teleop Algae Processed,Teleop Algae Netted,Cage Climb,
8711,2025gal_qm1,Yes,0,0,1,0,0,0,0,1,2,0,0,0,Parked,
620,2025gal_qm1,Yes,0,0,0,3,0,0,3,2,6,3,0,3,Parked,
8711,2025gal_qm1,Yes,0,0,1,0,0,0,0,1,2,0,0,0,Parked,
9037,2025gal_qm1,Yes,0,0,0,1,0,0,0,0,0,2,0,0,Parked,
7769,2025gal_qm1,Yes,0,0,0,1,0,0,0,4,6,6,0,0,DeepCage,
8711,2025gal_qm1,Yes,0,0,0,0,0,0,0,2,1,0,0,0,Parked,
8708,2025gal_qm1,Yes,0,0,0,1,0,0,0,1,1,2,0,0,Parked,
9037,2025gal_qm1,Yes,0,0,0,1,0,0,0,0,0,1,0,0,Parked,
620,2025gal_qm1,Yes,0,0,0,3,0,0,3,2,7,3,0,3,Parked,
8573,2025gal_qm1,Yes,1,0,0,0,0,0,0,5,1,0,0,0,Parked,
8708,2025gal_qm1,Yes,0,0,0,1,0,0,0,1,1,4,0,0,Parked,
9016,2025gal_qm10,Yes,1,0,0,1,0,0,0,0,0,0,0,0,DeepCage,
9483,2025gal_qm10,Yes,0,0,2,1,0,0,2,1,3,4,0,0,Parked,
3863,2025gal_qm10,Yes,0,0,0,0,0,0,1,1,8,0,0,0,DeepCage,
2813,2025gal_qm10,Yes,0,1,0,0,0,0,8,6,0,0,0,0,DeepCage,
176,2025gal_qm10,Yes,0,0,0,3,0,0,0,0,2,8,0,1,Parked,
176,2025gal_qm10,Yes,0,0,0,3,0,0,0,1,1,8,0,1,Parked,
5348,2025gal_qm10,Yes,0,0,0,0,0,0,1,0,3,6,0,0,DeepCage,
7709,2025gal_qm100,Yes,0,0,0,2,0,0,0,5,7,2,0,0,None,
4039,2025gal_qm100,Yes,0,0,0,0,0,0,0,4,3,7,0,0,DeepCage,
9037,2025gal_qm100,Yes,0,0,0,0,0,0,0,2,3,2,0,2,Parked,
7539,2025gal_qm100,Yes,0,1,0,0,0,0,1,6,6,0,0,0,DeepCage,
3506,2025gal_qm100,Yes,0,0,0,0,0,0,0,2,3,5,0,0,DeepCage,
2614,2025gal_qm100,Yes,0,0,0,2,0,0,1,2,0,1,2,0,DeepCage,
8573,2025gal_qm101,Yes,0,0,0,0,0,0,2,4,2,1,0,0,Parked,
1868,2025gal_qm101,Yes,0,0,1,2,0,0,0,0,5,5,0,1,DeepCage,
9077,2025gal_qm101,Yes,0,0,0,2,0,0,0,3,4,4,0,0,None,
498,2025gal_qm101,Yes,0,0,0,1,0,2,0,3,2,1,0,8,DeepCage,
1538,2025gal_qm101,Yes,0,1,0,2,0,0,0,3,4,3,0,1,Parked,
2230,2025gal_qm101,Yes,0,0,0,1,0,0,0,1,3,2,0,2,Parked,
8503,2025gal_qm102,Yes,0,0,2,0,0,0,0,4,5,1,0,0,Parked,
2530,2025gal_qm102,Yes,0,0,0,3,0,0,0,3,4,6,0,2,DeepCage,
5348,2025gal_qm102,Yes,0,0,0,1,0,0,0,0,0,0,1,0,Parked,
2530,2025gal_qm102,Yes,0,0,0,3,0,0,0,3,4,6,0,2,DeepCage,
5348,2025gal_qm102,Yes,0,0,0,1,0,0,0,0,0,0,1,0,Parked,
8711,2025gal_qm102,Yes,0,0,0,1,0,0,0,2,4,4,0,1,DeepCage,
180,2025gal_qm102,Yes,0,0,0,2,0,0,1,3,4,5,0,1,DeepCage,
1792,2025gal_qm102,Yes,1,0,0,1,0,0,0,1,5,0,0,0,Parked,
8503,2025gal_qm102,Yes,0,0,2,0,0,0,0,4,5,1,0,0,Parked,
3459,2025gal_qm103,Yes,0,0,0,0,0,0,0,0,2,2,0,0,Parked,
1002,2025gal_qm103,Yes,0,0,0,1,0,0,4,2,4,1,0,0,Parked,
2883,2025gal_qm103,Yes,0,0,0,1,0,0,0,1,5,6,0,0,Parked,
6436,2025gal_qm103,Yes,0,0,0,0,0,0,0,0,0,0,0,0,Parked,
620,2025gal_qm103,Yes,0,0,0,2,0,0,3,4,3,3,0,0,Parked,
201,2025gal_qm103,Yes,0,0,0,1,0,0,0,1,1,3,0,0,Parked,
6429,2025gal_qm104,Yes,0,0,0,0,0,0,1,2,3,0,1,0,Parked,
9140,2025gal_qm104,Yes,0,0,0,2,0,0,0,3,5,4,0,0,DeepCage,
971,2025gal_qm104,Yes,1,0,0,2,0,0,1,0,4,1,0,4,DeepCage,
7558,2025gal_qm104,Yes,0,0,0,1,0,2,0,0,1,3,0,5,DeepCage,
4381,2025gal_qm104,Yes,0,0,0,1,0,0,0,3,2,3,0,0,DeepCage,
1218,2025gal_qm104,Yes,0,0,0,2,0,0,1,1,7,5,0,0,DeepCage,
4381,2025gal_qm104,Yes,0,0,0,2,0,0,0,5,3,2,0,3,DeepCage,
4946,2025gal_qm105,Yes,0,0,0,1,0,0,0,3,5,3,0,2,DeepCage,
59,2025gal_qm105,Yes,0,0,0,0,0,1,3,2,2,1,5,0,Parked,
6989,2025gal_qm105,Yes,0,0,0,0,0,0,0,3,7,0,0,0,DeepCage,
1561,2025gal_qm105,Yes,0,0,0,3,0,0,0,0,0,0,0,0,Parked,
176,2025gal_qm105,Yes,0,0,0,3,0,0,0,5,5,3,0,0,DeepCage,
4476,2025gal_qm105,Yes,0,0,0,3,0,0,0,0,8,5,0,2,Parked,
5712,2025gal_qm106,Yes,0,0,0,1,0,0,1,7,4,2,0,0,DeepCage,
3990,2025gal_qm106,Yes,0,0,0,3,0,0,0,4,3,3,2,3,ShallowCage,
190,2025gal_qm106,Yes,0,0,0,4,0,0,6,4,6,3,0,1,DeepCage,
5411,2025gal_qm106,Yes,1,0,0,2,0,0,0,5,4,1,2,0,DeepCage,
8214,2025gal_qm106,Yes,0,0,0,1,0,1,2,3,2,2,0,2,Parked,
3035,2025gal_qm106,Yes,0,0,0,1,0,0,0,2,5,1,0,0,DeepCage,
9016,2025gal_qm107,Yes,0,0,0,0,0,0,5,3,3,4,0,0,Parked,
2992,2025gal_qm107,Yes,0,0,0,1,0,0,0,1,1,0,0,5,Parked,
8708,2025gal_qm107,Yes,0,0,0,1,0,0,0,5,0,0,0,0,DeepCage,
6574,2025gal_qm107,Yes,0,0,0,0,0,1,0,0,0,0,0,1,DeepCage,
9785,2025gal_qm107,Yes,0,0,0,1,0,0,1,4,5,5,0,0,DeepCage,
6401,2025gal_qm107,Yes,0,0,0,0,0,0,0,2,4,0,0,0,None,
34,2025gal_qm108,No,0,0,0,0,0,0,0,1,0,1,0,0,DeepCage,
3506,2025gal_qm108,Yes,0,0,0,0,0,0,0,0,0,0,0,0,None,
1625,2025gal_qm108,Yes,0,0,0,1,0,0,0,0,0,1,0,8,DeepCage,
353,2025gal_qm108,Yes,0,0,0,1,0,2,0,0,1,2,0,4,Parked,
706,2025gal_qm108,Yes,0,0,0,1,0,0,0,0,0,7,0,0,DeepCage,
3128,2025gal_qm108,Yes,0,0,0,2,0,0,4,1,7,4,0,0,DeepCage,
1986,2025gal_qm109,Yes,0,0,0,3,0,0,1,5,5,0,0,1,DeepCage,
10011,2025gal_qm109,Yes,0,0,1,0,0,0,0,0,0,0,0,0,Parked,
1501,2025gal_qm109,Yes,0,0,0,2,0,0,0,5,3,4,0,1,Parked,
3536,2025gal_qm109,Yes,0,0,0,1,0,0,0,0,6,4,1,0,DeepCage,
7709,2025gal_qm109,Yes,0,0,0,1,0,0,0,0,1,0,3,3,Parked,
4522,2025gal_qm109,Yes,0,0,0,4,0,0,0,3,8,2,0,1,DeepCage,
4039,2025gal_qm11,Yes,0,0,0,2,0,0,0,0,7,3,0,0,DeepCage,
971,2025gal_qm11,Yes,0,0,0,2,0,0,0,0,1,3,0,5,DeepCage,
9008,2025gal_qm11,Yes,1,0,0,0,0,0,0,0,2,7,0,0,DeepCage,
16,2025gal_qm11,Yes,0,0,0,1,0,0,0,1,2,2,0,6,Parked,
1538,2025gal_qm11,Yes,0,0,0,2,0,0,6,0,0,3,0,0,DeepCage,
9008,2025gal_qm11,Yes,0,0,0,0,0,0,0,0,2,7,0,0,DeepCage,
8214,2025gal_qm11,Yes,0,0,0,1,0,2,0,3,5,1,0,2,Parked,
2370,2025gal_qm110,Yes,0,0,0,2,0,0,1,0,2,1,0,1,DeepCage,
834,2025gal_qm110,Yes,1,0,0,1,0,0,2,2,3,3,0,0,DeepCage,
7539,2025gal_qm110,Yes,0,1,2,0,0,0,2,10,3,0,0,0,DeepCage,
1540,2025gal_qm110,Yes,0,0,0,1,0,1,0,2,3,4,0,2,DeepCage,
9483,2025gal_qm110,Yes,0,0,2,2,0,0,4,2,3,7,0,0,Parked,
4039,2025gal_qm110,Yes,0,0,0,1,0,0,0,7,5,3,0,0,Parked,
3863,2025gal_qm111,Yes,0,0,1,0,0,0,1,0,5,0,0,0,DeepCage,
3572,2025gal_qm111,Yes,0,0,0,3,0,0,0,2,6,3,0,0,DeepCage,
9008,2025gal_qm111,Yes,0,0,0,0,0,0,0,0,1,2,0,0,DeepCage,
10690,2025gal_qm111,Yes,0,0,0,0,0,0,1,0,4,2,0,2,Parked,
5847,2025gal_qm111,Yes,0,0,0,2,0,0,1,1,0,6,2,2,Parked,
4680,2025gal_qm111,Yes,0,0,0,0,0,1,0,0,0,0,4,5,DeepCage,
16,2025gal_qm112,Yes,0,0,0,1,0,1,0,0,0,0,0,9,DeepCage,
4135,2025gal_qm112,No,0,0,0,0,0,0,0,0,0,0,0,0,DeepCage,
9037,2025gal_qm112,Yes,0,0,0,1,0,0,1,0,1,0,0,0,DeepCage,
9692,2025gal_qm112,No,0,0,0,2,0,0,0,2,3,12,0,0,DeepCage,
10589,2025gal_qm112,Yes,0,0,0,1,0,0,1,0,3,2,0,7,Parked,
10589,2025gal_qm112,Yes,0,0,0,0,0,0,0,0,3,1,0,7,Parked,
